cartoon_title,character,start_year,end_year
¡Mucha Lucha!,Baby and Lady,2002,2005
¡Mucha Lucha!,Buena Girl,2002,2005
¡Mucha Lucha!,El Haystack Grande,2002,2005
¡Mucha Lucha!,El Loco Mosquito,2002,2005
¡Mucha Lucha!,Lone Star,2002,2005
¡Mucha Lucha!,Megawatt,2002,2005
¡Mucha Lucha!,Rikochet,2002,2005
¡Mucha Lucha!,Rikochet's Abuelito,2002,2005
¡Mucha Lucha!,The Flea,2002,2005
101 Dalmatian Street,Arabella,2018,2018
101 Dalmatian Street,Clarissa,2018,2018
101 Dalmatian Street,Dallas,2018,2018
101 Dalmatian Street,Dawkins,2018,2018
101 Dalmatian Street,Delilah,2018,2018
101 Dalmatian Street,Destiny,2018,2018
101 Dalmatian Street,Diesel,2018,2018
101 Dalmatian Street,Dolly,2018,2018
101 Dalmatian Street,Dorothy,2018,2018
101 Dalmatian Street,Dylan,2018,2018
101 Dalmatians: The Series,Cadpig,1997,1998
101 Dalmatians: The Series,Colonel,1997,1998
101 Dalmatians: The Series,Cruella de Vil,1997,1998
101 Dalmatians: The Series,Lt. Pug,1997,1998
101 Dalmatians: The Series,Lucky,1997,1998
101 Dalmatians: The Series,Nanny,1997,1998
101 Dalmatians: The Series,Princess,1997,1998
101 Dalmatians: The Series,Scorch,1997,1998
101 Dalmatians: The Series,Spot,1997,1998
12 oz. Mouse,Buzby,2005,2020
12 oz. Mouse,Eye,2005,2020
12 oz. Mouse,Golden Joe,2005,2020
12 oz. Mouse,Industry Man,2005,2020
12 oz. Mouse,Liquor,2005,2020
12 oz. Mouse,Mouse 'Fitz' Fitzgerald,2005,2020
12 oz. Mouse,Rectangle 'Square Guy',2005,2020
12 oz. Mouse,Roostre,2005,2020
12 oz. Mouse,Shark,2005,2020
12 oz. Mouse,The Policeman,2005,2020
2 Stupid Dogs,Big Bad Wolf,1993,1995
2 Stupid Dogs,Big Dog,1993,1995
2 Stupid Dogs,Buffy Ziegenhagen,1993,1995
2 Stupid Dogs,Buzz,1993,1995
2 Stupid Dogs,Chief,1993,1995
2 Stupid Dogs,Cubby,1993,1995
2 Stupid Dogs,Hollywood,1993,1995
2 Stupid Dogs,Little Dog,1993,1995
2 Stupid Dogs,Morocco Mole,1993,1995
2 Stupid Dogs,Secret Squirrel,1993,1995
3-South,Becky,2002,2003
3-South,Cindy,2002,2003
3-South,Dean Earhart,2002,2003
3-South,Dell,2002,2003
3-South,Ed Bickel,2002,2003
3-South,Felicity,2002,2003
3-South,Max,2002,2003
3-South,Sanford Reilly,2002,2003
3Below: Tales of Arcadia,AAARRRGGHH!!!,2018,2019
3Below: Tales of Arcadia,Aja,2018,2019
3Below: Tales of Arcadia,Eli,2018,2019
3Below: Tales of Arcadia,Krel,2018,2019
3Below: Tales of Arcadia,Luug,2018,2019
3Below: Tales of Arcadia,Morando,2018,2019
3Below: Tales of Arcadia,Mother,2018,2019
3Below: Tales of Arcadia,Steve,2018,2019
3Below: Tales of Arcadia,Stuart,2018,2019
3Below: Tales of Arcadia,Varvatos Vex,2018,2019
6Teen,Caitlin Cooke,2004,2010
6Teen,Jen Masterson,2004,2010
6Teen,Jonesy Garcia,2004,2010
6Teen,Jude Lizowski,2004,2010
6Teen,Kirsten,2004,2010
6Teen,Kristen,2004,2010
6Teen,Nikki Wong,2004,2010
6Teen,Ron the Rent-a-Cop,2004,2010
6Teen,Wayne,2004,2010
6Teen,Wyatt Williams,2004,2010
7Seeds,Ango,2019,2019
7Seeds,Arashi,2019,2019
7Seeds,Botan,2019,2019
7Seeds,Hana,2019,2019
7Seeds,Haru,2019,2019
7Seeds,Hotaru,2019,2019
7Seeds,Matsuri,2019,2019
7Seeds,Natsu,2019,2019
7Seeds,Ryo,2019,2019
7Seeds,Semimaru,2019,2019
A Certain Magical Index,Hyoka Kazakiri,2008,2019
A Certain Magical Index,Index,2008,2019
A Certain Magical Index,Kazari Uiharu,2008,2019
A Certain Magical Index,Kikyo Yoshikawa,2008,2019
A Certain Magical Index,Lidvia Lorenzetti,2008,2019
A Certain Magical Index,Lucia,2008,2019
A Certain Magical Index,Toma Kamijo,2008,2019
A Certain Magical Index,Toya Kamijo,2008,2019
A Lull in the Sea,Akari Shiodome,2013,2014
A Lull in the Sea,Chisaki Hiradaira,2013,2014
A Lull in the Sea,Hikari Sakishima,2013,2014
A Lull in the Sea,Isamu Kihara,2013,2014
A Lull in the Sea,Kaname Isaki,2013,2014
A Lull in the Sea,Manaka Mukaido,2013,2014
A Lull in the Sea,Miuna Shiodome,2013,2014
A Lull in the Sea,Tsumugu Kihara,2013,2014
A Miss Mallard Mystery,Tania,2000,2001
A Place Further Than the Universe,Gin Toudou,2018,2018
A Place Further Than the Universe,Hanami Yasumoto,2018,2018
A Place Further Than the Universe,Hinata Miyake,2018,2018
A Place Further Than the Universe,Kanae Maekawa,2018,2018
A Place Further Than the Universe,Mari Tamaki,2018,2018
A Place Further Than the Universe,Shirase Kobuchizawa,2018,2018
A Place Further Than the Universe,Toshio Zaizen,2018,2018
A Place Further Than the Universe,Yume Sasaki,2018,2018
A Place Further Than the Universe,Yumiko Samejima,2018,2018
A Place Further Than the Universe,Yuzuki Shiraishi,2018,2018
A Pup Named Scooby-Doo,Al Cabone,1988,1991
A Pup Named Scooby-Doo,Boobeard,1988,1991
A Pup Named Scooby-Doo,Coolsville Comet,1988,1991
A Pup Named Scooby-Doo,Daphne,1988,1991
A Pup Named Scooby-Doo,Fred,1988,1991
A Pup Named Scooby-Doo,Mr. O'Greazy,1988,1991
A Pup Named Scooby-Doo,Red Herring,1988,1991
