NOME O,NOME A,NOME OS,NOME AS,PRÓPRIOS,Q POST,O ADJ POST,A ADJ POST,OS ADJ POST,AS ADJ POST,O ADJ PRE,A ADJ PRE,OS ADJ PRE,AS ADJ PRE,CATEGORIAS,ATORES,ATRIZES,AUTORES
Abismo,Água,Abismos,Águas,Alexia,a Mais,Abençoado,Abençoada,Abençoados,Abençoadas,Alegre,Alegre,Alegres,Alegres,novela das 6 da Globo,Alexandre Borges,Adriana Esteves,Walcyr Carrasco
Abraço,Alegria,Abraços,Alegrias,Aline,a Menos,Alado,Alada,Alados,Aladas,Alto,Alta,Altos,Altas,novela das 7 da Globo,Alexandre Nero,Alanis Guillen,Aguinaldo Silva
Amanhã,Alma,Amanhãs,Almas,Alzira,ao Sol,Alegre,Alegre,Alegres,Alegres,Antigo,Antiga,Antigos,Antigas,novela das 8 da Globo,Antonio Calloni,Alessandra Negrini,Glória Perez
Amigo,Ambição,Amigos,Ambições,Amara,com Amor,Alto,Alta,Altos,Altas,Belíssimo,Belíssima,Belíssimos,Belíssimas,novela das 11 da Globo,Antonio Fagundes,Alice Wegmann,João Emanuel Carneiro
Amor,Amiga,Amores,Amigas,Ametista,com Pimenta,Amigo,Amiga,Amigos,Amigas,Bom,Boa,Bons,Boas,novela da Record,Antônio Fagundes,Alinne Moraes,Gilberto Braga
Anjo,Atração,Anjos,Atrações,Ana Maria,da Alegria,Antigo,Antiga,Antigos,Antigas,Divino,Divina,Divinos,Divinas,novela do SBT,Bruno Cabrerizo,Ana Paula Arósio,Manoel Carlos
Ar,Aventura,Ares,Aventuras,Benedita,da Atração,Apaixonado,Apaixonada,Apaixonados,Apaixonadas,Estranho,Estranha,Estranhos,Estranhas,,Bruno Gagliasso,Andréa Beltrão,Silvio de Abreu
Aroma,Bela,Aromas,Belas,Betina,da Carne,Autêntico,Autêntica,Autênticos,Autênticas,Eterno,Eterna,Eternos,Eternas,,Bruno Garcia,Andreia Horta,Carlos Lombardi
Astro,Beleza,Astros,Belezas,Camila,da China,Belíssimo,Belíssima,Belíssimos,Belíssimas,Falso,Falsa,Falsos,Falsas,,Caco Ciocler,Aracy Balabarian,Janete Clair
Beijo,Caminhada,Beijos,Caminhadas,Carmelita,da Coragem,Bom,Boa,Bons,Boas,Fino,Fina,Finos,Finas,,Caio Blat,Bianca Bin,Dias Gomes
Belo,Cara,Belos,Caras,Caterina,da Cumplicidade,Bonito,Bonita,Bonitos,Bonitas,Forte,Forte,Fortes,Fortes,,Carmo Dalla Vecchia,Bruna Linzmeyer,Benedito Ruy Barbosa
Cambalacho,Casa,Caminhos,Casas,Clarice,da Dor,Brasileiro,Brasileira,Brasileiros,Brasileiras,Grande,Grande,Grandes,Grandes,,Cássio Gabus Mendes,Bruna Lombardi,Antônio Calmon
Caminho,Celebridade,Casarões,Chaves,Damiana,da Fantasia,Brilhante,Brilhante,Brilhantes,Brilhantes,Indomável,Indomável,Indomáveis,Indomáveis,,Cauã Reymond,Bruna Marquezine,Thelma Guedes
Carrossel,Chave,Corações,Cores,Dara,da Ilusão,Capital,Capital,Capitais,Capitais,Insensato,Insensata,Insensatos,Insensatas,,Chay Suede,Camila Pitanga,Maria Adelaide Amaral
Casarão,Cor,Corpos,Descobertas,Eleonora,da Jornada,Carinhoso,Carinhosa,Carinhosos,Carinhosas,Jovem,Jovem,Jovens,Jovens,,Cláudio Heinrich,Camila Queiroz,Manuela Dias
Cheiro,Coragem,Desejos,Donas,Elísia,da Justiça,Corajoso,Corajosa,Corajosos,Corajosas,Louca,Louca,Loucos,Loucas,,Dalton Vigh,Carolina Dieckmann,Rosane Svartman
Conflito,Descoberta,Destinos,Dores,Eulália,da Liberdade,Deslumbrante,Deslumbrante,Deslumbrantes,Deslumbrantes,Maldito,Maldita,Malditos,Malditas,,Daniel de Oliveira,Carolina Ferraz,Iris Abravanel
Coquetel,Dona,Deveres,Estações,Evangeline,da Lua,Distante,Distante,Distantes,Distantes,Mau,Má,Maus,Más,,Danton Mello,Cássia Kis,Cassiano Gabus Mendes
Coração,Dor,Direitos,Estrelas,Farah,da Magia,Divino,Divina,Divinos,Divinas,Meu,Minha,Meus,Minhas,,Domingos Montagner,Cássia Kis Magro,
Corpo,Escalada,Donos,Famílias,Georgette,da Manhã,Domado,Domada,Domados,Domadas,Novo,Nova,Novos,Novas,,Edson Celulari,Christiane Torloni,
Desejo,Estação,Encantos,Fantasias,Isabela,da Noite,Dourado,Dourada,Dourados,Douradas,Pequeno,Pequena,Pequenos,Pequenas,,Eduardo Moscovis,Cláudia Abreu,
Destino,Estrela,Enigmas,Feras,Isadora,da Paixão,Efêmero,Efêmera,Efêmeros,Efêmeras,Primeiro,Primeira,Primeiros,Primeiras,,Emilio Dantas,Cláudia Ohana,
Dever,Família,Espelhos,Filhas,Isolda,da Primavera,Encantado,Encantada,Encantados,Encantadas,Próximo,Próxima,Próximos,Próximas,,Eriberto Leão,Cláudia Raia,
Direito,Fantasia,Feijões,Flores,Jacira,da Terra,Estranho,Estranha,Estranhos,Estranhas,Sagrado,Sagrada,Sagrados,Sagradas,,Fábio Assunção,Cléo Pires,
Dono,Fascinação,Filhos,Forças,Jade,da Verdade,Eterno,Eterna,Eternos,Eternas,Sensato,Sensata,Sensatos,Sensatas,,Felipe Simas,Cristiana Oliveira,
Encanto,Felicidade,Finais,Gatas,Jandira,da Vida,Falso,Falsa,Falsos,Falsas,Sétimo,Sétima,Sétimos,Sétimas,,Gabriel Braga Nunes,Danielle Winits,
Enigma,Fera,Gatos,Gerações,Júlia,da Vitória,Fascinante,Fascinante,Fascinantes,Fascinantes,Suave,Suave,Suaves,Suaves,,Guilherme Fontes,Débora Falabella,
Espelho,Filha,Gigantes,Guardiãs,Larissa,das Dores,Feliz,Feliz,Felizes,Felizes,Triste,Triste,Tristes,Tristes,,Henri Castelli,Débora Nascimento,
Feijão,Flor,Gostos,Ilusões,Marcella,das Flores,Ferido,Ferida,Feridos,Feridas,Último,Última,Últimos,Últimas,,Herson Capri,Deborah Secco,
Filho,Força,Guardiões,Intrigas,Mariah,das Ilusões,Fino,Fina,Finos,Finas,Velho,Velha,Velhos,Velhas,,Hugo Carvana,Dira Paes,
Final,Gata,Homens,Irmãs,Mariana,das Mulheres,Forte,Forte,Fortes,Fortes,Verdadeiro,Verdadeira,Verdadeiros,Verdadeiras,,Humberto Carrão,Drica Moraes,
Fogo,Gente,Impérios,Jogadas,Marisa,das Noites,Generoso,Generosa,Generosos,Generosas,,,Três,Três,,Humberto Martins,Eliane Giardini,
