"character","category"
"Agatha Christie","Artes"
"Akira Toriyama","Artes"
"Alan Moore","Artes"
"Aldous Huxley","Artes"
"Andy Warhol","Artes"
"Anne Frank","Artes"
"Anthony Bourdain","Artes"
"Anton Chekhov","Artes"
"Arthur Rimbaud","Artes"
"Ayn Rand","Artes"
"Banksy","Artes"
"Bob Ross","Artes"
"Charles Baudelaire","Artes"
"Charles Bukowski","Artes"
"Christopher Hitchens","Artes"
"Chuck Palahniuk","Artes"
"Clarice Lispector","Artes"
"Claude Monet","Artes"
"Coco Chanel","Artes"
"Dante Alighieri","Artes"
"David Foster Wallace","Artes"
"Edgar Allan Poe","Artes"
"Emily Dickinson","Artes"
"Ernest Hemingway","Artes"
"Fernando Pessoa","Artes"
"Franz Kafka","Artes"
"Frida Kahlo","Artes"
"Fyodor Dostoyevsky","Artes"
"George Orwell","Artes"
"George R. R. Martin","Artes"
"H.P. Lovecraft","Artes"
"Hans Christian Andersen","Artes"
"Harry Houdini (mágico)","Artes"
"Henry David Thoreau","Artes"
"Homero","Artes"
"Isaac Asimov","Artes"
"J. K. Rowling","Artes"
"James Joyce","Artes"
"Johann Wolfgang von Goethe","Artes"
"John Green","Artes"
"Jules Verne","Artes"
"Junji Ito","Artes"
"Kentaro Miura","Artes"
"Kurt Vonnegut","Artes"
"Leo Tolstoy","Artes"
"Leonardo da Vinci","Artes"
"Leonardo Da Vinci","Artes"
"Lin-Manuel Miranda","Artes"
"Lord Byron","Artes"
"Marie Kondo","Artes"
"Mark Twain","Artes"
"Marquis De Sade","Artes"
"Mary Shelley","Artes"
"Neil Gaiman","Artes"
"Oscar Wilde","Artes"
"Pablo Picasso","Artes"
"Rebecca Sugar","Artes"
"Salvador Dalí","Artes"
"Satoshi Kon","Artes"
"Shakespeare","Artes"
"Sir Arthur Conan Doyle","Artes"
"Stan Lee","Artes"
"Stephen King","Artes"
"Sylvia Plath","Artes"
"Victor Hugo","Artes"
"Vincent van Gogh","Artes"
"Vincent Van Gogh","Artes"
"Virginia Woolf","Artes"
"Vladimir Nabokov","Artes"
"Walt Disney","Artes"
"Walt Whitman","Artes"
"William Shakespeare","Artes"
"Adam Driver","Atores e Diretores (Internacional)"
"Adam Sandler","Atores e Diretores (Internacional)"
"Alfred Hitchcock","Atores e Diretores (Internacional)"
"Amy Adams","Atores e Diretores (Internacional)"
"Angelina Jolie","Atores e Diretores (Internacional)"
"Anne Hathaway","Atores e Diretores (Internacional)"
"Anthony Hopkins","Atores e Diretores (Internacional)"
"Arnold Schwarzenegger","Atores e Diretores (Internacional)"
"Ashton Kutcher","Atores e Diretores (Internacional)"
"Audrey Hepburn","Atores e Diretores (Internacional)"
"Ben Affleck","Atores e Diretores (Internacional)"
"Benedict Cumberbatch","Atores e Diretores (Internacional)"
"Blake Lively","Atores e Diretores (Internacional)"
"Brad Pitt","Atores e Diretores (Internacional)"
"Bruce Lee","Atores e Diretores (Internacional)"
"Bruce Lee","Atores e Diretores (Internacional)"
"Bruce Willis","Atores e Diretores (Internacional)"
"Cara Delevingne","Atores e Diretores (Internacional)"
"Cate Blanchett","Atores e Diretores (Internacional)"
"Chadwick Boseman","Atores e Diretores (Internacional)"
"Charlie Chaplin","Atores e Diretores (Internacional)"
"Charlie Sheen","Atores e Diretores (Internacional)"
"Chris Evans","Atores e Diretores (Internacional)"
"Chris Hemsworth","Atores e Diretores (Internacional)"
"Chris Pratt","Atores e Diretores (Internacional)"
"Chris Rock","Atores e Diretores (Internacional)"
